activity_type,aerobic_training_effect,anaerobic_training_effect,avg_hr,avg_speed,calories,distance,max_ftp,max_hr,duration,begin_timestamp,event_type_id,start_time_gmt,start_time_local,elevation_gain,elevation_loss,max_run_cadence,steps,avg_stride_length,avg_fractional_cadence,max_fractional_cadence,elapsed_duration,moving_duration,min_temperature,max_temperature,min_elevation,max_elevation,avg_double_cadence,max_double_cadence,max_vertical_speed,lap_count,water_estimated,min_respiration_rate,max_respiration_rate,avg_respiration_rate,activity_training_load
0,2.0999999046325684,0.10000000149011612,125.0,0.18009999990463257,1169.01558,389260.009765625,197.0,154.0,2161625.0,1586883372000,9,1586883372000.0,1586894172000.0,5300.0,5000.0,112.0,3164.0,169.50205161137723,0.5546875,0.5,2166613.037109375,1307000.0,20.0,24.0,39360.00061035156,42100.0,71.109375,225.0,0.279998779296875,13,,,,,
2,0.699999988079071,0.0,107.0,0.0,620.1229599999999,0.0,197.0,132.0,1447005.0048828125,1586880380000,9,1586880380000.0,1586891180000.0,0.0,0.0,,,,0.0,0.0,1447005.0048828125,0.0,22.0,23.0,36960.00061035156,37360.00061035156,,,0.2600006103515625,1,,,,,
2,0.20000000298023224,0.0,83.0,0.0,222.07106,0.0,197.0,124.0,955815.0024414062,1586878434000,9,1586878434000.0,1586889234000.0,0.0,0.0,,,,0.0,0.0,955815.0024414062,0.0,21.0,23.0,35379.998779296875,37960.00061035156,,,0.060000610351562504,1,,,,,
2,1.2000000476837158,0.10000000149011612,107.0,0.0,741.6335399999999,0.0,197.0,147.0,1701688.96484375,1586797525000,9,1586797525000.0,1586808325000.0,0.0,0.0,,,,0.0,0.0,1701688.96484375,0.0,19.0,23.0,36139.99938964844,37279.998779296875,,,0.579998779296875,2,,,,,
3,0.10000000149011612,0.0,81.0,0.0,293.3014,0.0,197.0,102.0,1349222.0458984375,1586796004000,9,1586796004000.0,1586806804000.0,,,,18.0,,0.0,0.0,1349222.0458984375,807395.99609375,23.0,24.0,,,,,,1,,,,,
3,0.0,0.0,72.0,0.0,155.03073999999998,0.0,197.0,94.0,985875.0,1586794365000,9,1586794365000.0,1586805165000.0,,,,28.0,,0.0,0.0,985875.0,985875.0,22.0,24.0,,,,,,1,,,,,
2,0.10000000149011612,0.0,71.0,0.0,209.50099999999998,0.0,197.0,109.0,1459607.0556640625,1586713687000,9,1586713687000.0,1586724487000.0,0.0,0.0,,,,0.0,0.0,1459607.0556640625,0.0,26.0,29.0,40339.99938964844,40339.99938964844,,,0.0,1,,,,,
3,0.10000000149011612,0.0,69.0,0.0,561.46268,0.0,197.0,98.0,4899696.77734375,1586707702000,9,1586707702000.0,1586718502000.0,,,,482.0,,0.0,0.0,5052258.7890625,2172329.1015625,26.0,29.0,,,,,,1,,,,,
1,1.5,0.800000011920929,103.0,0.3198999881744385,3456.7664999999997,3146211.9140625,197.0,160.0,9834893.5546875,1586678267000,9,1586678267000.0,1586689067000.0,41700.0,42000.0,,,,0.0,0.0,12320147.4609375,8564000.0,22.0,33.0,21980.00030517578,42379.998779296875,,,0.2399993896484375,7,,,,,
3,0.4000000059604645,0.4000000059604645,75.0,0.0,490.23233999999997,0.0,197.0,150.0,3128781.982421875,1586626452000,9,1586626452000.0,1586637252000.0,,,,236.0,,0.0,0.0,3128781.982421875,1409371.9482421875,26.0,29.0,,,,,,1,,,,,
2,,,,0.0,0.0,0.0,197.0,,860081.9702148438,1586539104000,9,1586539104000.0,1586549904000.0,0.0,0.0,,,,0.0,0.0,860081.9702148438,0.0,18.0,24.0,37900.0,37900.0,,,0.0,1,,,,,
3,0.10000000149011612,0.0,81.0,0.0,213.69101999999998,0.0,197.0,108.0,986478.02734375,1586536923000,9,1586536923000.0,1586547723000.0,,,,8.0,,0.0,0.0,986478.02734375,986478.02734375,24.0,25.0,,,,,,1,,,,,
3,0.10000000149011612,0.0,84.0,0.0,155.03073999999998,0.0,197.0,99.0,637518.9819335938,1586535924000,9,1586535924000.0,1586546724000.0,,,,8.0,,0.0,0.0,637518.9819335938,637518.9819335938,23.0,25.0,,,,,,1,,,,,
2,0.10000000149011612,0.0,73.0,0.0,100.56047999999998,0.0,197.0,115.0,1139822.998046875,1586532007000,9,1586532007000.0,1586542807000.0,0.0,0.0,,,,0.0,0.0,1139822.998046875,0.0,23.0,27.0,37900.0,37900.0,,,0.0,1,,,,,
2,0.20000000298023224,0.0,84.0,0.0,209.50099999999998,0.0,197.0,125.0,1022120.9716796875,1586454586000,9,1586454586000.0,1586465386000.0,0.0,0.0,,,,0.0,0.0,1022120.9716796875,0.0,23.0,25.0,38300.0,38300.0,,,0.0,1,,,,,
2,0.4000000059604645,0.10000000149011612,111.0,0.0,230.45109999999997,0.0,197.0,142.0,472139.0075683594,1586450501000,9,1586450501000.0,1586461301000.0,0.0,0.0,,,,0.0,0.0,472139.0075683594,0.0,17.0,18.0,38479.998779296875,38500.0,,,0.0,1,,,,,
2,,,,0.0,0.0,0.0,197.0,,605294.0063476562,1586447895000,9,1586447895000.0,1586458695000.0,0.0,0.0,,,,0.0,0.0,605294.0063476562,0.0,16.0,21.0,38500.0,38500.0,,,0.0,1,,,,,
